Product Group Level 4;Product Name;Store;Product;Quantity;Quantity Unit;Quantity Base
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Caviar/Beige;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010023;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Caviar/Beige;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010023;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Caviar/Beige;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010023;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Smoke/Grey;1406 PLOVDIV KIKA GRUP;31001010024;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Smoke/Grey;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010024;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Smoke/Grey;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010024;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Smoke/Grey;1410 PLOVDIV KIKA GRUP TRUD;31001010024;2;pcs;2
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Smoke/Grey;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010024;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Trioset Caviar/Beige;1406 PLOVDIV KIKA GRUP;31001010061;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Trioset Caviar/Beige;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010061;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Viper Trioset Caviar/Beige;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010061;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana kolichka 3 v 1 Allure Cream gold chrome REZA;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010207;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana kolichka 3 v 1 s transf.sedalka Glamor 3 in 1 Beige;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010191;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana kolichka 3 v 1 s transf.sedalka Glamor 3 in 1 Black;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010192;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana kolichka 3 v 1 s transf.sedalka Glamor 3 in 1 Grey;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010190;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Mostri detski kolichki Kitay;1406 PLOVDIV KIKA GRUP;31001010211;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Mostri detski kolichki Kitay;1401 WAREHOUSE NINGBO;31001010211;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Mostri detski kolichki Kitay;1413 PLOVDIV KIKA GRUP MOSTRI;31001010211;12;pcs;12
100101: Kombinirani bebeshki kolichki 3 v 1;Mostri detski kolichki Kitay;1410 PLOVDIV KIKA GRUP TRUD;31001010211;2;pcs;2
100101: Kombinirani bebeshki kolichki 3 v 1;Mostri detski kolichki Kitay;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010211;12;pcs;12
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2 in 1 Airy Beige Melange + carseat;1406 PLOVDIV KIKA GRUP;31001010112;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2 in 1 Airy Beige Melange + carseat;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010112;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2 in 1 Airy Beige Melange + carseat;1410 PLOVDIV KIKA GRUP TRUD;31001010112;2;pcs;2
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2 in 1 Airy Beige Melange + carseat;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010112;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2 in 1 Airy Dark Grey Melange + carseat;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010113;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2 in 1 Airy Dark Grey Melange + carseat;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010113;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Beige;1419 ZA UTOChNENIE;31001010196;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Beige;1406 PLOVDIV KIKA GRUP;31001010196;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Beige;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010196;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Beige;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010196;4;pcs;4
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Black;1419 ZA UTOChNENIE;31001010193;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Black;1406 PLOVDIV KIKA GRUP;31001010193;0;pcs;0
