Код на продукт Кика Груп Баркод;Баркод Кика;Part Number;Aktiven za Web;Aktiven za Web B2C;Product Name;Short Name;Measurement Unit;Broy v kashon;Shirina;Visochina;Dalzhina;Drug razmer;Marka;Model;Tsvyat;Tsvetna opakovka;Opisanie;Product Type;Intrastat Supplementary Unit;Minimal Sales Price Per Lot;Intrastat Commodity Code;Active;Enterprise Company
;3801001011036;31001010103;;;Stroller 3 in 1 Divaina with carrycot Dark Grey melange;;pcs;1;;;;;;Divaina 3 в 1;Dark Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001011043;31001010104;;;Stroller 3 in 1 Divaina with carrycot Dark Beige melange;;pcs;1;;;;;;Divaina 3 в 1;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001011050;31001010105;;;Stroller 3 in 1 Divaina with carrycot Dark Green Melange;;pcs;1;;;;;;Divaina 3 в 1;Green;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011067;31001010106;;;Stroller 3 in 1 Leilani Flowers;;pcs;1;;;;;KIKKABOO;Leilani;Flowers;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011074;31001010107;;;Stroller 3 in 1 Leilani Leaves;;pcs;1;;;;;KIKKABOO;Leilani;Leaves;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001011081;31001010108;;;Kombinirana;;pcs;1;;;;;;;;;;Stoka;kg;;87150010;0;KIKA GROUP LTD
3,801E+12;3801001011098;31001010109;;;Stroller 3 in 1 Vicenza Beige melangе;;pcs;1;;;;;KIKKABOO;Vicenza;Beige Melange;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011104;31001010110;;;Stroller 3 in 1 Vicenza Grey melangе;;pcs;1;;;;;KIKKABOO;Vicenza;Grey Melange;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011111;31001010111;;;Stroller 3 in 1 Vicenza Green melangе;;pcs;1;;;;;KIKKABOO;Vicenza;Green Melange;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011128;31001010112;;;Stroller 2 in 1 Airy Beige Melange + carseat;;pcs;1;;;;;;Airy 2 в 1;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011135;31001010113;;;Stroller 2 in 1 Airy Dark Grey Melange + carseat;;pcs;1;;;;;KIKKABOO;Airy 2 в 1;Dark Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011142;31001010114;;;Stroller 3in1 transf. seat Amaia Beige;;pcs;1;;;;;KIKKABOO;Amaia 3 в 1;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011159;31001010115;;;Stroller 3in1 transf. seat Amaia Dark Grey;;pcs;1;;;;;KIKKABOO;Amaia 3 в 1;Black (Dark Grey);;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011166;31001010116;;;Stroller 3 in 1 Amaia Blue;;pcs;1;;;;;KIKKABOO;Amaia 3 в 1;Blue;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011173;31001010117;;;Stroller 3in1 transf. seat Amaia Light Grey;;pcs;1;;;;;KIKKABOO;Amaia 3 в 1;Light Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011180;31001010118;;;Stroller 3in1 transf. seat Beloved Dark Grey;;pcs;1;;;;;KIKKABOO;Beloved 3 в 1 ;Dark Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011197;31001010119;;;Stroller 3in1 transf. seat Beloved Beige;;pcs;1;;;;;KIKKABOO;Beloved 3 в 1 ;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011203;31001010120;;;Stroller 3in1 transf. seat Beloved Pink;;pcs;1;;;;;KIKKABOO;Beloved 3 в 1 ;Pink;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011210;31001010121;;;Stroller 3in1 transf. seat Beloved Light Grey;;pcs;1;;;;;KIKKABOO;Beloved 3 в 1 ;Light Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011227;31001010122;;;Stroller 3in1 transf. seat Amaia All Black;;pcs;1;;;;;KIKKABOO;Amaia 3 в 1;Black;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011234;31001010123;;;Stroller 3in1 Vicenza Premium Black;;pcs;1;;;;;KIKKABOO;Vicenza Premium;Black;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001011241;31001010124;;;Stroller 3in1 Vicenza Premium Grey;;pcs;1;;;;;KIKKABOO;Vicenza Premium;Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001011258;31001010125;;;Kombinirana bebeshka kolichka 3 v 1 Airy Grey;;pcs;;;;;;;Airy 3 в 1;Grey;;;Stoka;;;;1;KIKA GROUP LTD
